Company,Product_Type,Greenhouse_Gas_Emissions,Pollutants_Emitted,Water_Consumption,Energy_Consumption,Waste_Generation,sustainability_rating,sustainability_category
Forever 21,Polyester,0.13333333333333336,0.4375,0.64625,0.875,0.365,0.49141666666666667,Moderately Sustainable
Zara,Microfiber,0.19595238095238093,0.875,0.17025,0.8875,0.3800000000000001,0.5017404761904762,Not Sustainable
Zara,Organic_Cotton,0.5721428571428571,0.6875,0.38375000000000004,0.55125,0.18500000000000005,0.4759285714285714,Moderately Sustainable
Forever 21,Microfiber,0.3511904761904762,0.3125,0.17925000000000013,0.09999999999999998,0.78,0.34458809523809525,Moderately Sustainable
Forever 21,Wool,0.9704761904761905,0.25,0.23775000000000013,0.5900000000000001,0.815,0.5726452380952382,Not Sustainable
Urban Outfitters,Synthetic_Blend,0.9073809523809524,0.5625,0.6937500000000001,0.69875,0.20000000000000007,0.6124761904761905,Not Sustainable
Urban Outfitters,Organic_Cotton,0.5833333333333333,0.8125,0.70675,0.32000000000000006,0.5800000000000001,0.6005166666666668,Not Sustainable
Adidas,Microfiber,0.2078571428571429,0.4375,0.39050000000000007,0.73125,0.45500000000000007,0.44442142857142863,Moderately Sustainable
Nike,Synthetic_Blend,0.7719047619047619,0.5,0.00825000000000009,0.7237500000000001,0.875,0.5757809523809524,Not Sustainable
Forever 21,Linen,0.4488095238095238,0.6875,0.22425000000000006,0.81375,0.24,0.4828619047619048,Moderately Sustainable
Nike,Wool,0.18928571428571433,0.0625,0.3162499999999999,0.56375,0.040000000000000036,0.23435714285714285,Highly Sustainable
Nike,Recycled_Poly,0.5754761904761905,0.625,0.76525,0.53125,0.21999999999999997,0.543395238095238,Not Sustainable
Adidas,Tencel,0.9785714285714286,0.5,0.85025,0.20999999999999996,0.32499999999999996,0.5727642857142857,Not Sustainable
Nike,Organic_Cotton,0.9133333333333333,0.125,0.14400000000000013,0.9650000000000001,0.2849999999999999,0.48646666666666666,Moderately Sustainable
Urban Outfitters,Tencel,0.17595238095238103,0.75,0.014250000000000096,0.33750000000000013,0.685,0.3925404761904763,Moderately Sustainable
Urban Outfitters,Organic_Cotton,0.743095238095238,0.6875,0.11075000000000013,0.86375,0.29499999999999993,0.5400190476190476,Not Sustainable
Zara,Viscose,0.6397619047619048,0.4375,0.663,0.08000000000000007,0.81,0.5260523809523809,Not Sustainable
Nike,Wool,0.2273809523809524,0.25,0.046250000000000124,0.04749999999999999,0.385,0.19122619047619052,Highly Sustainable
Zara,Nylon,0.26452380952380955,0.75,0.46450000000000014,0.4737500000000001,0.855,0.561554761904762,Not Sustainable
Urban Outfitters,Viscose,0.809047619047619,0.1875,0.8535000000000001,0.62625,0.7850000000000001,0.6522595238095239,Not Sustainable
Nike,Polyester,0.42357142857142854,0.875,0.45524999999999993,0.30125,0.45999999999999996,0.5030142857142856,Not Sustainable
Nike,Tencel,0.11809523809523809,0.75,0.2825,0.24249999999999994,0.15500000000000003,0.30961904761904757,Moderately Sustainable
Zara,Wool,0.041428571428571426,0.0625,0.8055000000000001,0.42625,0.31000000000000005,0.3291357142857143,Moderately Sustainable
Forever 21,Cotton,0.40404761904761904,0.375,0.8325,0.2975000000000001,0.41999999999999993,0.4658095238095238,Moderately Sustainable
Forever 21,Polyester,0.2821428571428572,0.25,0.5529999999999999,0.32000000000000006,0.21999999999999997,0.32502857142857144,Moderately Sustainable
Zara,Recycled_Poly,0.6985714285714286,0.4375,0.6027500000000001,0.41375000000000006,0.020000000000000018,0.4345142857142858,Moderately Sustainable
Nike,Polyester,0.8209523809523809,1.0,0.11624999999999996,0.9537500000000001,0.08000000000000007,0.5941904761904763,Not Sustainable
Urban Outfitters,Organic_Cotton,0.21261904761904765,0.875,0.5157499999999999,0.2825,0.7850000000000001,0.5341738095238096,Not Sustainable
Forever 21,Synthetic_Blend,0.06071428571428572,0.0625,0.4902500000000001,0.5137499999999999,0.5449999999999999,0.33444285714285715,Moderately Sustainable
Zara,Linen,0.14333333333333337,0.125,0.32975,0.7775000000000001,0.18500000000000005,0.3121166666666667,Moderately Sustainable
Adidas,Synthetic_Blend,0.634047619047619,0.75,0.6114999999999999,0.67875,0.375,0.6098595238095237,Not Sustainable
Forever 21,Viscose,0.1933333333333333,0.1875,0.8732500000000001,0.8375000000000001,0.8300000000000001,0.5843166666666667,Not Sustainable
Adidas,Microfiber,0.4454761904761905,0.8125,0.347,0.5800000000000001,0.51,0.5389952380952382,Not Sustainable
Zara,Organic_Cotton,0.6095238095238096,0.5,0.3832500000000001,0.19500000000000006,0.875,0.5125547619047619,Not Sustainable
Zara,Nylon,0.1816666666666667,0.8125,0.09875000000000012,0.9525000000000001,0.9450000000000001,0.5980833333333335,Not Sustainable
Adidas,Tencel,0.6428571428571428,0.1875,0.4205000000000001,0.4525000000000001,0.8500000000000001,0.5106714285714287,Not Sustainable
Zara,Synthetic_Blend,0.6092857142857142,0.6875,0.1060000000000001,0.73875,0.645,0.5573071428571429,Not Sustainable
Adidas,Wool,0.43738095238095237,0.1875,0.35850000000000004,0.7112499999999999,0.47,0.4329261904761905,Moderately Sustainable
Nike,Viscose,0.8369047619047618,0.0,0.6234999999999999,0.84125,0.885,0.6373309523809523,Not Sustainable
Zara,Recycled_Poly,0.6026190476190476,0.625,0.35925000000000007,0.007500000000000062,0.22999999999999998,0.36487380952380954,Moderately Sustainable
Forever 21,Wool,0.13571428571428573,0.25,0.75875,0.81,0.03500000000000003,0.39789285714285716,Moderately Sustainable
Forever 21,Cotton,0.8188095238095239,0.875,0.349,0.20124999999999993,0.47,0.5428119047619047,Not Sustainable
Nike,Viscose,0.1654761904761905,0.0625,0.1592500000000001,0.20124999999999993,0.9650000000000001,0.31069523809523814,Moderately Sustainable
Zara,Wool,0.5307142857142857,0.875,0.6777500000000001,0.5425,0.6200000000000001,0.6491928571428571,Not Sustainable
Urban Outfitters,Microfiber,0.42023809523809524,1.0,0.11650000000000005,0.4412499999999999,0.55,0.505597619047619,Not Sustainable
Nike,Wool,0.9490476190476189,1.0,0.683,0.39375000000000004,0.05500000000000005,0.6161595238095239,Not Sustainable
Urban Outfitters,Viscose,0.01476190476190481,0.375,0.3085,0.27,0.98,0.389652380952381,Moderately Sustainable
Nike,Synthetic_Blend,0.23380952380952386,0.0,0.50925,0.9550000000000001,0.55,0.4496119047619048,Moderately Sustainable
Adidas,Microfiber,0.4488095238095238,1.0,0.5720000000000001,0.855,0.44999999999999996,0.6651619047619046,Not Sustainable
Urban Outfitters,Polyester,0.03642857142857148,0.875,0.9432500000000001,0.09875,0.40000000000000013,0.47068571428571443,Moderately Sustainable
Urban Outfitters,Viscose,0.8145238095238094,0.5625,0.11775000000000002,0.5175000000000001,0.025000000000000022,0.4074547619047618,Moderately Sustainable
Adidas,Viscose,0.7057142857142857,0.125,0.44700000000000006,0.135,0.31000000000000005,0.34454285714285715,Moderately Sustainable
Forever 21,Microfiber,0.15333333333333338,0.75,0.8912500000000001,0.39625,0.95,0.6281666666666667,Not Sustainable
Adidas,Organic_Cotton,0.14880952380952378,1.0,0.64825,0.14500000000000002,0.675,0.5234119047619048,Not Sustainable
Adidas,Organic_Cotton,0.28785714285714287,0.4375,0.10525000000000007,0.18625000000000003,0.32499999999999996,0.2683714285714286,Moderately Sustainable
Adidas,Viscose,0.14690476190476193,0.3125,0.974,0.98875,0.8,0.6444309523809524,Not Sustainable
Urban Outfitters,Viscose,0.8754761904761905,0.625,0.8847500000000001,0.8025,0.40000000000000013,0.7175452380952383,Not Sustainable
Urban Outfitters,Nylon,0.8623809523809522,0.5625,0.81525,0.35125000000000006,0.7550000000000001,0.6692761904761906,Not Sustainable
Nike,Tencel,0.6052380952380951,0.875,0.46275,0.04749999999999999,0.07000000000000006,0.412097619047619,Moderately Sustainable
Nike,Nylon,0.9888095238095238,0.75,0.4737500000000001,0.7424999999999999,0.7050000000000001,0.7320119047619048,Not Sustainable
Urban Outfitters,Viscose,0.6269047619047619,0.9375,0.51325,0.19250000000000012,0.07500000000000007,0.4690309523809525,Moderately Sustainable
Zara,Organic_Cotton,0.9840476190476191,0.3125,0.040000000000000036,0.3162499999999999,0.905,0.5115595238095239,Not Sustainable
Urban Outfitters,Tencel,0.3095238095238096,0.6875,0.38175000000000003,0.36125000000000007,0.4950000000000001,0.44700476190476196,Moderately Sustainable
Nike,Wool,0.10190476190476189,0.625,0.06725000000000003,0.4212500000000001,0.12,0.2670809523809524,Moderately Sustainable
Urban Outfitters,Synthetic_Blend,0.29309523809523813,0.625,0.08325000000000005,0.7450000000000001,0.845,0.5182690476190477,Not Sustainable
Nike,Synthetic_Blend,0.2514285714285715,0.125,0.31699999999999995,0.7150000000000001,0.48,0.3776857142857143,Moderately Sustainable
Nike,Recycled_Poly,0.18214285714285722,0.8125,0.5205,0.46250000000000013,0.020000000000000018,0.39952857142857146,Moderately Sustainable
Nike,Recycled_Poly,0.6664285714285714,0.9375,0.19650000000000012,0.28875000000000006,0.17500000000000004,0.4528357142857143,Moderately Sustainable
Zara,Synthetic_Blend,0.99,1.0,0.03849999999999998,0.84625,0.42999999999999994,0.66095,Not Sustainable
Adidas,Viscose,0.30071428571428577,0.3125,0.18500000000000005,0.88625,0.9850000000000001,0.5338928571428572,Not Sustainable
Adidas,Linen,0.8011904761904762,0.6875,0.6925000000000001,0.9199999999999999,0.30000000000000004,0.6802380952380952,Not Sustainable
Forever 21,Synthetic_Blend,0.4561904761904762,0.4375,0.3167500000000001,0.6000000000000001,0.245,0.41108809523809525,Moderately Sustainable
Forever 21,Linen,0.5495238095238095,0.75,0.51475,0.675,0.5349999999999999,0.604854761904762,Not Sustainable
Adidas,Viscose,0.4876190476190477,0.0625,0.6565000000000001,0.615,0.4750000000000001,0.4593238095238096,Moderately Sustainable
Zara,Tencel,0.555952380952381,0.125,0.78125,0.20500000000000007,0.345,0.4024404761904762,Moderately Sustainable
Forever 21,Recycled_Poly,0.1788095238095238,0.4375,0.8362499999999999,0.5762499999999999,0.44500000000000006,0.4947619047619048,Moderately Sustainable
Urban Outfitters,Polyester,0.9790476190476189,0.6875,0.24124999999999996,0.49375000000000013,0.09999999999999998,0.5003095238095239,Not Sustainable
Adidas,Polyester,0.19309523809523815,0.625,0.8102500000000001,0.18625000000000003,0.17500000000000004,0.39791904761904767,Moderately Sustainable
Nike,Linen,0.9147619047619047,0.875,0.6300000000000001,0.006249999999999978,0.09999999999999998,0.505202380952381,Not Sustainable
Nike,Cotton,0.8254761904761905,0.1875,0.7947500000000001,0.36875000000000013,0.30000000000000004,0.49529523809523807,Moderately Sustainable
Zara,Polyester,0.8188095238095239,0.875,0.06424999999999992,0.1412500000000001,0.635,0.5068619047619048,Not Sustainable
Forever 21,Polyester,0.47166666666666673,0.25,0.2982500000000001,0.5487500000000001,0.0,0.31373333333333336,Moderately Sustainable
Nike,Cotton,0.8123809523809524,0.3125,0.68025,0.855,0.10499999999999998,0.5530261904761905,Not Sustainable
Nike,Nylon,0.9895238095238095,1.0,0.56725,0.025000000000000022,0.4950000000000001,0.6153547619047619,Not Sustainable
Zara,Wool,0.7280952380952381,0.5,0.76525,0.020000000000000018,0.45500000000000007,0.4936690476190476,Moderately Sustainable
Nike,Cotton,0.6483333333333332,0.25,0.04525000000000001,0.44999999999999996,0.6950000000000001,0.4177166666666666,Moderately Sustainable
Adidas,Wool,0.9333333333333333,0.3125,0.8307500000000001,0.1725000000000001,0.08000000000000007,0.4658166666666668,Moderately Sustainable
Zara,Synthetic_Blend,0.08523809523809528,0.375,0.907,0.05249999999999999,0.40000000000000013,0.3639476190476191,Moderately Sustainable
Forever 21,Microfiber,0.9233333333333333,0.5,0.037250000000000005,0.9637500000000001,0.825,0.6498666666666667,Not Sustainable
Nike,Organic_Cotton,0.6473809523809524,0.5,0.12725000000000009,0.47,0.5549999999999999,0.4599261904761905,Moderately Sustainable
Urban Outfitters,Microfiber,0.36428571428571427,0.9375,0.7085000000000001,0.63625,0.47,0.623307142857143,Not Sustainable
Nike,Nylon,0.15380952380952378,0.8125,0.6167500000000001,0.22999999999999998,0.6950000000000001,0.5016119047619048,Not Sustainable
Nike,Nylon,0.6395238095238094,0.5625,0.31375,0.5700000000000001,0.77,0.5711547619047619,Not Sustainable
Adidas,Linen,0.871904761904762,0.0625,0.7442500000000001,0.45124999999999993,0.7850000000000001,0.5829809523809525,Not Sustainable
